date,user,colors,desc1,desc2,desc3
Nov-27-2014-12:23:17,pqrs,,3f6d66e1-fa31-43da-8cfe-2329cee33c0e
Nov-27-2014-12:24:18,pqrs,,3f6d66e1-fa31-43da-8cfe-2329cee33c0e
Nov-27-2014-12:26:06,pqrs,,
Nov-27-2014-12:26:06,pqrs,,3f6d66e1-fa31-43da-8cfe-2329cee33c0e
Nov-27-2014-12:27:07,pqrs,,3f6d66e1-fa31-43da-8cfe-2329cee33c0e
Nov-27-2014-12:28:07,pqrs,,3f6d66e1-fa31-43da-8cfe-2329cee33c0e
Nov-27-2014-12:29:08,pqrs,,3f6d66e1-fa31-43da-8cfe-2329cee33c0e
Nov-27-2014-12:30:16,pqrs,stopped,
Nov-27-2014-12:31:17,pqrs,,3f6d66e1-fa31-43da-8cfe-2329cee33c0e
Nov-27-2014-12:32:17,pqrs,,
Nov-27-2014-12:32:17,pqrs,,3f6d66e1-fa31-43da-8cfe-2329cee33c0e
Nov-27-2014-12:33:18,pqrs,,
Nov-27-2014-12:33:18,pqrs,,3f6d66e1-fa31-43da-8cfe-2329cee33c0e
Nov-27-2014-12:33:21,84bfd,stopped,
Nov-27-2014-12:33:21,84bfd,,3f6d66e1-fa31-43da-8cfe-2329cee33c0e
Nov-28-2014-12:33:21,84bfd,stopped,
Nov-27-2014-12:33:22,xyz,,3f6d66e1-fa31-43da-8cfe-2329cee33c0e
Nov-27-2014-12:33:22,xyz,,
Nov-27-2014-12:33:22,xyz,stopped,
Nov-27-2014-12:33:21,84bfd,active,
Nov-27-2014-12:33:23,xyz,stopped,3f6d66e1-fa31-43da-8cfe-2329cee33c0e
Nov-27-2014-12:33:42,84bfd,,3f6d66e1-fa31-43da-8cfe-2329cee33c0e
Nov-27-2014-12:33:42,xyz,active,3f6d66e1-fa31-43da-8cfe-2329cee33c0e
Nov-27-2014-12:33:52,84bfd,,3f6d66e1-fa31-43da-8cfe-2329cee33c0e
Nov-27-2014-12:33:53,xyz,paused,3f6d66e1-fa31-43da-8cfe-2329cee33c0e
